number,title,detail_url,dozierende
551-1147-00L,Bioactive Natural Products from Bacteria,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194022&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Piel
551-0370-00L,Einführung in die Ökologie,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192866&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,O. Y. Martin
529-0053-00L,Polymer Physics Methods for Unstructured Biomolecules,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192942&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Yulikov, L. Galazzo, G. Jeschke"
551-1309-00L,RNA-Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194225&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Allain, J. Corn, J. Hall, S. Jonas, R. Santoro, O. Voinnet"
551-1511-00L,Parallels Between Tissue Repair and Cancer,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193289&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Werner, H. Gehart, M. Schäfer"
551-1403-00L,Imaging Bacterial Cells in a Native State by Electron Cryotomography,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192913&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Pilhofer
551-1417-00L,In Vivo Cryo-EM Analysis of Dynein Motor Proteins,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194131&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Ishikawa
529-0019-00L,Characterization of the Aggregation Landscape of Peptide Amyloids and their Chemical Templating,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194192&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Riek, J. Greenwald"
551-1520-00L,Evolutionary Genetics to Explore the Role of Genes in Trait Evolution,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195298&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"K. Bomblies, M. Dukic, A. Meschichi, T. Srikant"
701-2437-01L,Aquatische Ökologie (inkl. zwei Bestimmungskursen),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193652&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. Jokela, A. Narwani, F. Altermatt, F. Pomati, C. Vorburger, A. A.‑T. Weber"
529-0810-01L,Praktikum Organische Chemie II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194289&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,C. Thilgen
529-0810-01L,Praktikum Organische Chemie II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194289&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,C. Thilgen
551-1709-00L,Genomic and Genetic Methods in Cell and Developmental Biology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194145&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Wutz, T. Schroeder"
871-0242-06L,Kognitiv aktivierender Unterricht in den MINT-Fächern,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193024&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Schumacher
871-0242-07L,Menschliche Intelligenz,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193343&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Stern
871-0229-00L,Ausserschulische Lernorte nutzen,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192961&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Schumacher, P. Faller"
551-0961-00L,Mentorierte Arbeit Fachdidaktik Biologie A,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192721&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Faller, H. Stocker"
551-0962-00L,Mentorierte Arbeit Fachdidaktik Biologie B,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192719&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Faller, H. Stocker"
