number,title,detail_url,dozierende
101-0317-00L,Underground Construction I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194378&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Cantieni, J. Leuthold, A. Nordas"
101-0187-00L,Structural Reliability and Risk Analysis,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193344&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Marelli
101-0437-00L,Traffic Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193546&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Kouvelas
101-0417-00L,Transport Planning Methods,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193646&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Heinen
101-0491-00L,Agent Based Modeling in Transportation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193139&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Balac, G. O. Kagho"
101-0267-01L,Numerical Hydraulics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193020&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Secchi, D. F. Vetsch"
101-0159-00L,Method of Finite Elements II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193216&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Chatzi, K. Tatsis, K. Vlachas"
101-0617-02L,Computational Science Investigation for Material Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193006&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Kammer, F. Wittel"
101-0250-00L,Solving Partial Differential Equations in Parallel on GPUs I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193496&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Utkin, S. Omlin, L. Räss, M. Werder"
101-0139-00L,Scientific Machine and Deep Learning for Design and Construction,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193669&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Bickel, A. Müller"
101-0120-00L,Structural Glass Design and Facade Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194553&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,V.‑A. Silvestru
101-0492-00L,Microscopic Modelling and Simulation of Traffic Operations,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193554&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,K. Riehl
102-0468-10L,Watershed Modelling,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193828&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Molnar
